City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Nurota,UZ,40.5614,65.6886,44.69,17,6,8.08,clear sky
319,Boca Do Acre,BR,-8.7522,-67.3978,70.14,99,99,2.08,overcast clouds
320,Port Blair,IN,11.6667,92.75,86.04,70,40,11.5,scattered clouds
321,Aklavik,CA,68.2191,-135.0107,-25.11,88,6,19.24,clear sky
322,Talnakh,RU,69.4865,88.3972,-7.42,96,93,3.98,overcast clouds
323,Ternate,ID,0.8,127.4,85.62,68,96,5.84,overcast clouds
324,Rio Grande,BR,-32.035,-52.0986,73.51,94,40,7.0,scattered clouds
325,Turukhansk,RU,65.8167,87.9833,14.61,94,100,12.62,light snow
326,Broome,US,42.2506,-75.833,16.38,85,100,9.22,mist
327,Hays,US,30.0502,-98.0336,30.07,86,6,9.84,clear sky
328,Bilma,NE,18.6853,12.9164,53.04,27,2,5.12,clear sky
329,Aguimes,ES,27.9054,-15.4461,66.67,34,0,1.14,clear sky
330,Saint-Francois,FR,46.4154,3.9054,35.04,92,0,5.75,clear sky
331,Iracoubo,GF,5.4802,-53.2011,75.6,89,92,8.19,overcast clouds
332,Ilembo,TZ,-9.25,33.3833,54.3,95,100,5.77,light rain
333,Xining,CN,36.6167,101.7667,18.55,65,100,6.15,overcast clouds
334,Cap Malheureux,MU,-19.9842,57.6142,81.46,81,100,7.0,overcast clouds
335,Mao,ES,39.8885,4.2658,48.76,93,0,3.44,clear sky
336,Macrohon,PH,10.0797,124.9431,80.49,80,85,17.6,overcast clouds
337,Anadyr,RU,64.75,177.4833,-9.85,82,0,4.16,clear sky
338,Cascais,PT,38.6979,-9.4215,52.05,74,74,1.01,broken clouds
339,Tlaltenango,MX,19.1667,-98.3333,54.28,63,6,1.95,clear sky
340,Bogande,BF,12.9714,-0.1436,62.6,15,1,10.0,clear sky
341,Casino,AU,-28.8667,153.05,71.56,63,47,13.58,scattered clouds
342,Beidao,CN,34.5686,105.8933,31.5,70,100,3.4,overcast clouds
343,Imamoglu,TR,37.2651,35.6572,42.51,68,0,6.87,clear sky
344,Ogulin,HR,45.2661,15.2286,45.43,93,100,2.24,overcast clouds
345,Humaita,BR,-7.5061,-63.0208,72.81,98,100,2.59,overcast clouds
